casualty_id,vehicle_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
10162,1,2,2,9,3,0,0,2,0,0,9,1,11
10163,1,2,1,4,2,0,0,9,0,0,9,1,2
10164,1,2,1,4,2,0,0,9,0,0,9,1,1
10165,1,1,1,6,3,0,0,0,0,0,9,1,1
10166,2,2,2,8,3,0,0,1,0,0,9,1,1
10167,2,1,2,9,3,0,0,0,0,0,9,1,1
10168,2,1,1,4,3,0,0,0,0,0,9,1,2
10169,1,3,1,3,3,5,4,0,0,0,0,1,5
10170,1,3,1,3,3,5,9,0,0,0,0,1,1
10171,1,1,2,6,3,0,0,0,0,0,9,1,6
10172,1,2,2,2,2,0,0,2,0,0,9,1,6
10173,1,2,2,3,3,0,0,9,0,0,9,1,6
10174,1,2,2,7,3,0,0,9,0,0,9,1,6
10175,1,2,2,9,3,0,0,9,0,0,9,1,6
10176,1,3,1,7,2,5,3,0,0,0,0,3,9
10177,1,3,2,7,3,10,9,0,0,2,0,1,10
10178,2,1,1,7,3,0,0,0,0,0,9,1,1
10179,2,2,1,6,3,0,0,1,0,0,9,1,1
10180,2,1,1,6,3,0,0,0,0,0,1,1,10
10181,1,1,1,8,3,0,0,0,0,0,9,1,8
10182,2,1,1,7,3,0,0,0,0,0,9,1,1
10183,1,3,1,7,3,1,1,0,0,0,0,1,4
10184,3,1,1,9,3,0,0,0,0,0,9,1,4
10185,2,1,1,7,3,0,0,0,0,0,1,1,4
10186,2,1,1,8,3,0,0,0,0,0,1,1,3
10187,2,1,2,8,3,0,0,0,0,0,1,1,2
10188,2,1,2,10,3,0,0,0,0,0,9,1,7
10189,1,3,2,8,3,5,1,0,0,2,0,1,1
10190,1,3,1,9,3,10,9,0,0,2,0,1,8
10191,2,1,1,6,3,0,0,0,0,0,3,1,1
10192,2,1,2,3,3,0,0,0,0,0,1,1,1
